Species,Length,Height,Width,Weight
Pike,57.24,14.23,8.27,5394.59
Smelt,9.38,2.33,0.8,15.03
Perch,19.76,15.3,3.12,847.46
Smelt,13.83,2.76,0.89,34.59
Smelt,10.67,2.93,0.83,27.99
Roach,17.53,6.86,3.23,465.81
Perch,23.23,9.85,4.99,1224.19
Perch,19.29,5.5,5.18,562.01
Perch,21.95,10.3,2.94,746.16
Smelt,10.66,3.18,1.0,32.38
Pike,55.12,16.63,7.04,6961.49
Perch,20.21,9.25,4.69,778.08
Smelt,13.78,3.3,0.86,45.8
Roach,19.19,8.64,1.77,332.28
Pike,61.69,17.62,7.31,8566.55
Roach,15.67,7.06,2.74,361.5
Pike,32.89,15.36,8.5,3759.54
Smelt,12.3,3.48,0.79,38.4
Bream,28.57,14.13,5.85,2242.79
Pike,67.89,12.04,5.36,4356.42
Roach,20.45,7.98,2.33,360.57
Smelt,11.95,3.43,1.19,45.14
Pike,56.34,24.18,5.02,7088.89
Bream,33.6,11.98,5.41,2532.52
Bream,20.32,10.31,6.36,1526.73
Perch,29.69,9.99,2.74,837.2
Perch,24.95,10.34,4.49,1272.43
Roach,18.95,7.81,3.17,479.18
Pike,53.36,15.15,6.67,4729.05
Pike,45.25,14.67,4.38,2756.35
Perch,29.39,9.4,4.51,1174.36
Pike,39.2,12.43,5.46,2472.04
Pike,54.5,20.34,6.0,6000.96
Bream,21.54,10.53,5.2,945.56
Perch,20.27,10.89,3.87,700.31
Smelt,10.63,2.22,1.4,35.29
Perch,21.35,9.18,3.67,586.54
Smelt,13.19,3.18,0.62,24.34
Bream,27.29,13.55,4.95,2082.65
Roach,21.56,7.44,2.35,407.63
Pike,48.93,13.54,9.39,5601.05
Bream,27.83,15.56,4.32,1541.31
Pike,48.85,17.5,6.52,4865.63
Roach,19.39,8.28,3.29,531.19
Roach,17.64,10.89,2.41,392.1
Bream,31.14,10.64,4.74,1314.81
Roach,22.1,8.9,2.76,575.18
Smelt,7.81,2.84,1.1,19.75
Roach,20.01,9.13,3.97,758.43
Pike,54.14,16.03,8.39,8158.21
Pike,57.49,20.43,7.34,9725.99
Pike,47.29,18.41,7.67,7082.96
Pike,43.31,12.4,6.18,2707.03
Smelt,9.47,2.23,1.22,27.41
Perch,31.22,8.23,3.01,772.37
